FID,straatnaam,huisnummer,huisletter,toevoeging,woonplaats,postcode,geom
inspireadressen.124,Kalf R,17,,ROOD,Zaandam,1509AC,POINT (117432.39398959851 498286.64942791517)
inspireadressen.125,Kalf R,18,,ROOD,Zaandam,1509AC,POINT (117453.78860329789 498290.18572254136)
inspireadressen.126,Kalf R,26,,ROOD,Zaandam,1509AC,POINT (117580.85096289718 498317.3198885618)
inspireadressen.127,Kalf R,3,,ROOD,Zaandam,1509AC,POINT (117167.5564525997 498248.72991357086)
inspireadressen.128,Kalf R,4,,ROOD,Zaandam,1509AC,POINT (117183.07612848878 498252.0993249757)
inspireadressen.129,Kalf R,22,,ROOD,Zaandam,1509AC,POINT (117520.39181370592 498301.91249566415)
inspireadressen.130,Kalf R,49,,ROOD,Zaandam,1509AC,POINT (117965.50375738865 498389.19683058176)
inspireadressen.131,Kalf R,50,,ROOD,Zaandam,1509AC,POINT (117980.64621699153 498390.78598021244)
inspireadressen.132,Kalf R,20,,ROOD,Zaandam,1509AC,POINT (117489.80830003736 498295.1833324212)
inspireadressen.133,Kalf R,24,,ROOD,Zaandam,1509AC,POINT (117548.54824171921 498309.908583468)
inspireadressen.134,Kalf R,28,,ROOD,Zaandam,1509AC,POINT (117616.91323124415 498326.47052952705)
inspireadressen.135,Kalf R,29,,ROOD,Zaandam,1509AC,POINT (117633.65419406518 498328.6696790995)
inspireadressen.136,Kalf R,30,,ROOD,Zaandam,1509AC,POINT (117649.11463972183 498329.03824477986)
inspireadressen.137,Kalf R,32,,ROOD,Zaandam,1509AC,POINT (117681.74180329603 498333.15412022365)
inspireadressen.138,Kalf R,38,,ROOD,Zaandam,1509AC,POINT (117789.89778558326 498354.0039120406)
inspireadressen.139,Kalf R,39,,ROOD,Zaandam,1509AC,POINT (117807.05715598543 498358.05246512056)
inspireadressen.140,Kalf R,40,,ROOD,Zaandam,1509AC,POINT (117823.55624768637 498361.7330467984)
inspireadressen.141,Kalf R,41,,ROOD,Zaandam,1509AC,POINT (117838.80361140247 498364.8776620063)
inspireadressen.142,Zuidervaartdijk,111,,ROOD,Krommenie,1561ZE,POINT (113300.91727877976 501134.9034453518)
inspireadressen.143,Kerkbuurt,46,A,,Westzaan,1551AE,POINT (113247.59670785796 497580.70477358473)
inspireadressen.144,Hogendijk,210,,,Zaandam,1506AN,POINT (116266.26045669483 494411.2960438448)
inspireadressen.145,Westzanerdijk,388,a,,Zaandam,1507AR,POINT (114702.18019801397 493905.92647680634)
inspireadressen.146,Havenstraat,109,,ROOD,Zaandam,1506PM,POINT (117477.26916251634 493234.7038486584)
inspireadressen.147,Zaanweg,51,b,,Wormerveer,1521DL,POINT (114904.89205291121 500531.23526419274)
inspireadressen.148,Nauerna,48,A,rood,Assendelft,1566PD,POINT (111964.8104319561 495160.8248488421)
inspireadressen.149,Braakdijk R,27,,ROOD,Zaandam,1509BK,POINT (117563.34832807418 498339.19119902427)
inspireadressen.150,Braakdijk R,31,,ROOD,Zaandam,1509BK,POINT (117614.44697772461 498345.2913448872)
inspireadressen.151,Braakdijk R,13,,ROOD,Zaandam,1509BJ,POINT (117335.9722121802 498293.39475738816)
inspireadressen.152,Kalf R,5,,ROOD,Zaandam,1509AC,POINT (117199.42740299973 498255.7429222925)
inspireadressen.153,Kalf,35,A,ROOD,Zaandam,1509AB,POINT (116666.99020688898 498030.99854980205)
inspireadressen.154,Kalf R,36,,ROOD,Zaandam,1509AC,POINT (117754.13264071323 498344.11366921006)
inspireadressen.155,Kalf R,7,,ROOD,Zaandam,1509AC,POINT (117238.13908848968 498262.0524148417)
inspireadressen.156,Kalf R,45,,ROOD,Zaandam,1509AC,POINT (117904.48219383169 498378.3475499159)
inspireadressen.157,Veldbloemenweg,6,C,,Zaandam,1508WV,POINT (116613.04470527021 496771.75277960184)
inspireadressen.158,Lagedijk,326,,,Zaandijk,1544BX,POINT (115726.25749999998 499329.01199999993)
inspireadressen.159,Provincialeweg,10,,rood,Westzaan,1551SB,POINT (113780.56684867169 497860.55778729013)
inspireadressen.160,Kanaaldijk,13,,ROOD,Westzaan,1551PH,POINT (113941.01866036809 493527.4333381409)
inspireadressen.161,Sluispolderweg,62,,Rood,Zaandam,1505HK,POINT (118133.77744791246 492630.57123179716)
inspireadressen.162,Diederik Sonoyweg,1,,ROOD,Zaandam,1509BR,POINT (116973.40759771952 498260.51620763564)
inspireadressen.163,Kalf,35,B,ROOD,Zaandam,1509AB,POINT (116690.52207494226 498034.267419901)
inspireadressen.164,Houthavenkade,1,G,ROOD,Zaandam,1506PC,POINT (116608.30599446104 494386.99016423884)
inspireadressen.165,J.J. Allanstraat,395,,ROOD,Westzaan,1551RJ,POINT (113214.13361830979 496989.9029933192)
inspireadressen.166,J.J. Allanstraat,423,,ROOD,Westzaan,1551RK,POINT (113201.67274380596 497110.70132393634)
inspireadressen.167,J.J. Allanstraat,453,,ROOD,Westzaan,1551RL,POINT (113191.24522420819 497232.5995730614)
inspireadressen.168,Kanaaldijk,5,,ROOD,Westzaan,1551PH,POINT (113968.9156714469 493673.47058459494)
inspireadressen.169,Kanaaldijk,7,,ROOD,Westzaan,1551PH,POINT (113965.35750022874 493631.2173155697)
inspireadressen.170,Kanaaldijk,9,,ROOD,Westzaan,1551PH,POINT (113948.81217765682 493557.820892742)
inspireadressen.171,Kanaaldijk,75,,ROOD,Westzaan,1551PH,POINT (111832.76146358566 494286.1172064462)
inspireadressen.172,Kanaaldijk,77,,ROOD,Westzaan,1551PH,POINT (111844.11812365087 494317.81899427855)
inspireadressen.173,Kanaaldijk,79,,ROOD,Westzaan,1551PH,POINT (111851.36726863457 494348.38106430473)
inspireadressen.174,Kanaaldijk,81,,ROOD,Westzaan,1551PH,POINT (111858.14989857469 494379.9056181909)
inspireadressen.175,Kanaaldijk,83,,ROOD,Westzaan,1551PH,POINT (111864.50283646812 494410.79073744814)
inspireadressen.176,Kanaaldijk,85,,ROOD,Westzaan,1551PH,POINT (111869.65392678877 494437.0518847583)
inspireadressen.177,Kanaaldijk,87,,ROOD,Westzaan,1551PH,POINT (111875.15599774051 494464.30759029434)
inspireadressen.178,Kanaaldijk,89,,ROOD,Westzaan,1551PH,POINT (111882.04087593967 494494.0452460839)
inspireadressen.179,Kanaaldijk,91,,ROOD,Westzaan,1551PH,POINT (111890.37655878437 494529.26701002574)
inspireadressen.180,Kanaaldijk,93,,ROOD,Westzaan,1551PH,POINT (111898.83452221376 494565.53199875134)
inspireadressen.181,Kanaaldijk,95,,ROOD,Westzaan,1551PH,POINT (111905.88750816461 494593.4568448608)
inspireadressen.182,Kanaaldijk,97,,ROOD,Westzaan,1551PH,POINT (111914.22838486223 494617.67254758626)
inspireadressen.183,Kanaaldijk,99,,ROOD,Westzaan,1551PH,POINT (111925.72539566542 494646.2387177995)
inspireadressen.184,Kanaaldijk,101,,ROOD,Westzaan,1551PH,POINT (111939.36470778205 494678.5267099802)
inspireadressen.185,Kanaaldijk,103,,ROOD,Westzaan,1551PH,POINT (111950.86962506622 494704.5060280899)
inspireadressen.186,Kanaaldijk,105,,ROOD,Westzaan,1551PH,POINT (111959.91101119423 494724.6307080068)
inspireadressen.187,Kanaaldijk,107,,ROOD,Westzaan,1551PH,POINT (111969.68848655192 494748.7571714176)
inspireadressen.188,Kanaaldijk,109,,ROOD,Westzaan,1551PH,POINT (111980.03751340143 494775.7967044247)
inspireadressen.189,Kanaaldijk,111,,ROOD,Westzaan,1551PH,POINT (111988.8124036405 494802.60501065815)
inspireadressen.190,Noordervaartdijk,24,G,,Krommenie,1561PT,POINT (113558.34509180613 502212.1960746285)
inspireadressen.191,Kanaaldijk,31,,rood,Assendelft,1566PA,POINT (111717.18998059885 494724.9961888225)
inspireadressen.192,Kalf R,35,,ROOD,Zaandam,1509AC,POINT (117737.17275328674 498340.62107560015)
inspireadressen.193,Kanaaldijk,51,,ROOD,Assendelft,1566PA,POINT (111772.57244762506 494323.2141462846)
inspireadressen.194,Kanaaldijk,49,,ROOD,Assendelft,1566PA,POINT (111775.73103027084 494344.9813156572)
inspireadressen.195,Kanaaldijk,47,,ROOD,Assendelft,1566PA,POINT (111778.94001806718 494362.83132591535)
inspireadressen.196,Zaanweg,67,,ROOD,Wormerveer,1521DM,POINT (114767.88621694224 500506.53549023106)
inspireadressen.197,Kanaaldijk,45,,ROOD,Assendelft,1566PA,POINT (111782.36436116775 494383.82127657946)
inspireadressen.198,Kanaaldijk,43,,ROOD,Assendelft,1566PA,POINT (111785.36719135872 494407.38414199173)
inspireadressen.199,Kanaaldijk,41,,ROOD,Assendelft,1566PA,POINT (111788.1766644971 494430.53585312946)
inspireadressen.200,Kanaaldijk,39,,ROOD,Assendelft,1566PA,POINT (111787.23418292103 494454.10461301845)
inspireadressen.201,Kanaaldijk,37,,ROOD,Assendelft,1566PA,POINT (111785.90397210565 494477.7553344541)
inspireadressen.202,Kanaaldijk,35,,ROOD,Assendelft,1566PA,POINT (111786.932477717 494503.49972920073)
inspireadressen.203,Kanaaldijk,113,,ROOD,Westzaan,1551PH,POINT (111995.52596359591 494825.0247644553)
inspireadressen.204,Kanaaldijk,115,,ROOD,Westzaan,1551PH,POINT (112000.97958492317 494843.73350613494)
inspireadressen.205,Vaartdijk,9,c,rood,Assendelft,1566PL,POINT (112535.71663325989 497085.84766505234)
inspireadressen.206,Vaartdijk,9,,rood,Assendelft,1566PL,POINT (112525.33790234316 497054.05930527183)
inspireadressen.207,Kalf,63,,ROOD,Zaandam,1509AB,POINT (116897.5203625464 498178.2551266994)
inspireadressen.208,Zaanweg,76,,ROOD,Wormerveer,1521DN,POINT (114704.82375785678 500495.5493002156)
inspireadressen.209,Zaanweg,73,,ROOD,Wormerveer,1521DN,POINT (114736.36007377195 500501.0233810927)
inspireadressen.210,Zaanweg,63,,ROOD,Wormerveer,1521DM,POINT (114799.23500000002 500512.971)
inspireadressen.211,Zaanweg,59,,ROOD,Wormerveer,1521DM,POINT (114830.54824545304 500519.58169164124)
inspireadressen.212,Zaanweg,57,,ROOD,Wormerveer,1521DM,POINT (114861.65750105886 500525.97999349446)
inspireadressen.213,Zaanweg,47,,ROOD,Wormerveer,1521DL,POINT (114955.02344854464 500530.08380150807)
inspireadressen.214,Nauernasche Vaartdijk,50,,ROOD,Westzaan,1551BA,POINT (112679.74449999999 497382.7569999999)
inspireadressen.215,Nauernasche Vaartdijk,51,,ROOD,Westzaan,1551BA,POINT (112687.55499999998 497409.9055)
inspireadressen.216,Nauernasche Vaartdijk,52,,ROOD,Westzaan,1551BA,POINT (112695.36550000001 497437.05449999997)
inspireadressen.217,Schoener,42,,,Alphen aan den Rijn,2401MT,POINT (104190.0524501879 463215.3168679671)
inspireadressen.218,Steekterweg,2,A,,Alphen aan den Rijn,2407BG,POINT (109197.48118990738 458072.7744874206)
inspireadressen.219,Steekterweg,6,A,,Alphen aan den Rijn,2407BG,POINT (109032.49526641594 458125.79717435624)
inspireadressen.220,Steekterweg,88,B,,Alphen aan den Rijn,2407BH,POINT (107989.16350000002 458703.841)
inspireadressen.221,Steekterweg,90,B,,Alphen aan den Rijn,2407BH,POINT (107783.47300000001 458751.6205)
inspireadressen.222,Steekterweg,132,B,,Alphen aan den Rijn,2407BJ,POINT (107395.80947522841 458939.1978756842)
inspireadressen.223,Steekterweg,132,C,,Alphen aan den Rijn,2407BJ,POINT (107382.70081005992 458958.260668239)
inspireadressen.224,Steekterweg,132,D,,Alphen aan den Rijn,2407BJ,POINT (107359.99299999999 458966.64200000005)
inspireadressen.225,Steekterweg,132,E,,Alphen aan den Rijn,2407BJ,POINT (107334.64793829684 458974.57080839196)
inspireadressen.226,Steekterweg,132,F,,Alphen aan den Rijn,2407BJ,POINT (107320.41426592068 458981.9370028449)
inspireadressen.227,Steekterweg,134,A,,Alphen aan den Rijn,2407BJ,POINT (107306.88413736294 458992.10083396494)
inspireadressen.228,Steekterweg,156,A,,Alphen aan den Rijn,2407BK,POINT (107092.97496063692 459051.9312793218)
inspireadressen.229,Steekterweg,156,B,,Alphen aan den Rijn,2407BK,POINT (107056.01846945239 459055.0287357262)
inspireadressen.230,Steekterweg,156,C,,Alphen aan den Rijn,2407BK,POINT (107032.1523669244 459053.4844889167)
inspireadressen.231,Steekterweg,158,A,,Alphen aan den Rijn,2407BK,POINT (107016.58239526548 459051.45319452364)
inspireadressen.232,Steekterweg,158,B,,Alphen aan den Rijn,2407BK,POINT (106997.67366319717 459053.8846580595)
inspireadressen.233,'s-Molenaarspad,1,A,,Alphen aan den Rijn,2401NZ,POINT (104253.0845 462385.26050000003)
inspireadressen.234,'s-Molenaarspad,1,B,,Alphen aan den Rijn,2401NZ,POINT (104244.18220244108 462405.7028069137)
inspireadressen.235,'s-Molenaarspad,1,C,,Alphen aan den Rijn,2401NZ,POINT (104243.33449999998 462427.3545)
inspireadressen.236,Hoorn,210,A,,Alphen aan den Rijn,2404HK,POINT (103970.7196258046 461635.1818234907)
inspireadressen.237,Hoorn,210,B,,Alphen aan den Rijn,2404HK,POINT (103953.49581083281 461628.2449143468)
inspireadressen.238,Hoorn,210,C,,Alphen aan den Rijn,2404HK,POINT (103938.9261744044 461622.85236134805)
inspireadressen.239,Hoorn,210,D,,Alphen aan den Rijn,2404HK,POINT (103922.33350000002 461607.1805)
inspireadressen.240,Hoorn,230,,,Alphen aan den Rijn,2404HK,POINT (103895.59839226207 461604.1317119686)
inspireadressen.241,Steekterweg,90,C,,Alphen aan den Rijn,2407BH,POINT (107887.18903079978 458724.5796784231)
inspireadressen.242,Koedood,17,b,,Barendrecht,2993AL,POINT (93418.82088488474 428357.6049096862)
inspireadressen.243,Buitenkerk,54,a,,Bodegraven,2411PC,POINT (110598.02230727118 455957.6392526372)
inspireadressen.244,Buitenkerk,54,b,,Bodegraven,2411PC,POINT (110593.73999999999 455978.9195)
